model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-09/11-49-15/weights/model_step_140000.pt,1,True,True,Foundation,0.9103000164031982,0.8403184413909912,0.8379490375518799,0.250125527381897,0.35968053340911865,0.3540892004966736,[0.9103000164031982],[0.8403184413909912],[0.8379490375518799],[0.250125527381897],[0.35968053340911865],[0.3540892004966736]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-09/11-49-15/weights/model_step_140000.pt,1,True,True,Foundation,0.897777775923411,0.6325535972913107,0.6268501083056132,0.38284539182980853,0.6279459198315939,0.6327788233757019,"[0.8970891833305359, 0.9057276844978333, 0.890516459941864]","[0.6578947305679321, 0.6111111044883728, 0.628654956817627]","[0.6285178065299988, 0.6303939819335938, 0.6216385364532471]","[0.3753788471221924, 0.3604098856449127, 0.41274744272232056]","[0.6190670132637024, 0.6445116400718689, 0.6202591061592102]","[0.6306059956550598, 0.6269186735153198, 0.6408118009567261]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-09/11-49-15/weights/model_step_140000.pt,1,True,True,Foundation,0.9491999745368958,0.8809199929237366,0.8810999989509583,0.1520935297012329,0.2854890823364258,0.2862669825553894,[0.9491999745368958],[0.8809199929237366],[0.8810999989509583],[0.1520935297012329],[0.2854890823364258],[0.2862669825553894]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-09/11-49-15/weights/model_step_140000.pt,1,True,True,Foundation,0.6866999864578247,0.6503626704216003,0.6483997702598572,0.5910435318946838,0.6249748468399048,0.6284214854240417,[0.6866999864578247],[0.6503626704216003],[0.6483997702598572],[0.5910435318946838],[0.6249748468399048],[0.6284214854240417]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-09/11-49-15/weights/model_step_140000.pt,1,True,True,Foundation,0.7320057352383932,0.6957007249196371,0.7171210050582886,0.5345151424407959,0.5822948813438416,0.5608679056167603,"[0.7308934330940247, 0.731001079082489, 0.7341226935386658]","[0.7026800513267517, 0.6867671608924866, 0.6976549625396729]","[0.7087517976760864, 0.7277618646621704, 0.7148493528366089]","[0.539026141166687, 0.5352369546890259, 0.5292823314666748]","[0.5680152177810669, 0.596501350402832, 0.5823680758476257]","[0.5614698529243469, 0.5516328811645508, 0.5695009827613831]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-09/11-49-15/weights/model_step_140000.pt,1,True,True,Foundation,0.8281000256538391,0.7622838020324707,0.7663800120353699,0.36592698097229004,0.44797366857528687,0.44471633434295654,[0.8281000256538391],[0.7622838020324707],[0.7663800120353699],[0.36592698097229004],[0.44797366857528687],[0.44471633434295654]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-09/11-49-15/weights/model_step_140000.pt,1,True,True,Foundation,0.6876678069432577,0.6808352073033651,0.6791307131449381,0.5941577951113383,0.6051416993141174,0.6024213631947836,"[0.6910241842269897, 0.6800920367240906, 0.6918871998786926]","[0.6711409687995911, 0.6868008971214294, 0.6845637559890747]","[0.6701821684837341, 0.6874400973320007, 0.6797698736190796]","[0.5916910767555237, 0.5978423953056335, 0.5929399132728577]","[0.5997053384780884, 0.5934908390045166, 0.6222289204597473]","[0.6186806559562683, 0.5957396030426025, 0.5928438305854797]"
