model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,128,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-10/20-42-43/weights/model_step_20000.pt,1,True,True,Foundation,0.7764999866485596,0.7762818932533264,0.7790989279747009,0.46229609847068787,0.4634975492954254,0.45838797092437744,[0.7764999866485596],[0.7762818932533264],[0.7790989279747009],[0.46229609847068787],[0.4634975492954254],[0.45838797092437744]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,128,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-10/20-42-43/weights/model_step_20000.pt,1,True,True,Foundation,0.5979968706766764,0.5964912176132202,0.5784865617752075,0.6636534333229065,0.6697311798731486,0.672539492448171,"[0.6050704121589661, 0.594929575920105, 0.5939906239509583]","[0.5964912176132202, 0.5921052694320679, 0.6008771657943726]","[0.5866166353225708, 0.5703564882278442, 0.5784865617752075]","[0.6609491109848022, 0.6657222509384155, 0.6642889380455017]","[0.672827422618866, 0.6671571135520935, 0.6692090034484863]","[0.6702122092247009, 0.6752050518989563, 0.6722012162208557]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,128,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-10/20-42-43/weights/model_step_20000.pt,1,True,True,Foundation,0.7771000266075134,0.7663800120353699,0.7699999809265137,0.4768465459346771,0.48978787660598755,0.48514828085899353,[0.7771000266075134],[0.7663800120353699],[0.7699999809265137],[0.4768465459346771],[0.48978787660598755],[0.48514828085899353]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,128,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-10/20-42-43/weights/model_step_20000.pt,1,True,True,Foundation,0.6570000052452087,0.655613124370575,0.6479260921478271,0.620589017868042,0.6244057416915894,0.6270884275436401,[0.6570000052452087],[0.655613124370575],[0.6479260921478271],[0.620589017868042],[0.6244057416915894],[0.6270884275436401]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,128,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-10/20-42-43/weights/model_step_20000.pt,1,True,True,Foundation,0.7025834123293558,0.6753210624059042,0.7036107182502747,0.5671252608299255,0.5994391838709513,0.5752960244814554,"[0.7052744626998901, 0.6963401436805725, 0.706135630607605]","[0.6792294979095459, 0.6675041913986206, 0.6792294979095459]","[0.6972740292549133, 0.7195122241973877, 0.694045901298523]","[0.5684630870819092, 0.5698620080947876, 0.5630506873130798]","[0.5878813862800598, 0.6149959564208984, 0.5954402089118958]","[0.5819180011749268, 0.5654051899909973, 0.5785648822784424]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,128,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-10/20-42-43/weights/model_step_20000.pt,1,True,True,Foundation,0.7117999792098999,0.7088574171066284,0.7087399959564209,0.5601155757904053,0.5674858093261719,0.5675895810127258,[0.7117999792098999],[0.7088574171066284],[0.7087399959564209],[0.5601155757904053],[0.5674858093261719],[0.5675895810127258]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,128,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-10/20-42-43/weights/model_step_20000.pt,1,True,True,Foundation,0.6791330973307291,0.6890380382537842,0.676254391670227,0.6083916227022806,0.6078668832778931,0.6111811002095541,"[0.6815304756164551, 0.6798043847084045, 0.6760644316673279]","[0.6845637559890747, 0.6979866027832031, 0.6845637559890747]","[0.6615532040596008, 0.6922339200973511, 0.6749760508537292]","[0.608550488948822, 0.6065347194671631, 0.6100896596908569]","[0.6055617928504944, 0.5975947380065918, 0.620444118976593]","[0.6281956434249878, 0.5993874073028564, 0.6059602499008179]"
