model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/12-00-35/weights/model_step_180000.pt,1,True,True,Foundation,0.9028000235557556,0.8434792757034302,0.8432670831680298,0.2498103529214859,0.3529461920261383,0.3485560119152069,[0.9028000235557556],[0.8434792757034302],[0.8432670831680298],[0.2498103529214859],[0.3529461920261383],[0.3485560119152069]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/12-00-35/weights/model_step_180000.pt,1,True,True,Foundation,0.903912345568339,0.6193956931432089,0.6310193737347921,0.3442927499612172,0.6394817233085632,0.6299614906311035,"[0.9143661856651306, 0.9363380074501038, 0.8610328435897827]","[0.6154970526695251, 0.6271929740905762, 0.6154970526695251]","[0.6366478800773621, 0.6335209608078003, 0.6228892803192139]","[0.3046155869960785, 0.2816449701786041, 0.4466176927089691]","[0.6333239674568176, 0.6389524936676025, 0.6461687088012695]","[0.6247696280479431, 0.6277365684509277, 0.6373782753944397]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/12-00-35/weights/model_step_180000.pt,1,True,True,Foundation,0.9176999926567078,0.8534600138664246,0.8565000295639038,0.21149702370166779,0.3272800147533417,0.32415416836738586,[0.9176999926567078],[0.8534600138664246],[0.8565000295639038],[0.21149702370166779],[0.3272800147533417],[0.32415416836738586]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/12-00-35/weights/model_step_180000.pt,1,True,True,Foundation,0.6707000136375427,0.6576856374740601,0.6499392986297607,0.6070868968963623,0.6237987875938416,0.6263341903686523,[0.6707000136375427],[0.6576856374740601],[0.6499392986297607],[0.6070868968963623],[0.6237987875938416],[0.6263341903686523]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/12-00-35/weights/model_step_180000.pt,1,True,True,Foundation,0.731682817141215,0.6931881507237753,0.7156862616539001,0.5343154470125834,0.5860464572906494,0.5628144939740499,"[0.7296017408370972, 0.7296017408370972, 0.7358449697494507]","[0.6909547448158264, 0.6926298141479492, 0.69597989320755]","[0.7123385667800903, 0.7220229506492615, 0.7126972675323486]","[0.5407111644744873, 0.5347482562065125, 0.5274869203567505]","[0.5752943158149719, 0.6007784605026245, 0.5820665955543518]","[0.5665662288665771, 0.5532192587852478, 0.5686579942703247]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/12-00-35/weights/model_step_180000.pt,1,True,True,Foundation,0.8529000282287598,0.7587460875511169,0.7602400183677673,0.34131336212158203,0.4602692425251007,0.4589540958404541,[0.8529000282287598],[0.7587460875511169],[0.7602400183677673],[0.34131336212158203],[0.4602692425251007],[0.4589540958404541]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/12-00-35/weights/model_step_180000.pt,1,True,True,Foundation,0.6816263794898987,0.6868008971214294,0.6871204773585001,0.5967441995938619,0.6004606088002523,0.5957273244857788,"[0.6858457922935486, 0.6844073534011841, 0.6746259927749634]","[0.6890380382537842, 0.6890380382537842, 0.68232661485672]","[0.665388286113739, 0.6912751793861389, 0.7046979665756226]","[0.5940713882446289, 0.5989423394203186, 0.5972188711166382]","[0.600247323513031, 0.5852079391479492, 0.6159265637397766]","[0.6146281957626343, 0.5903098583221436, 0.5822439193725586]"
