model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-07/14-12-56/weights/model_step_60000.pt,1,True,True,Foundation,0.8840000033378601,0.8349332809448242,0.8332329988479614,0.27562037110328674,0.36466485261917114,0.3658926784992218,[0.8840000033378601],[0.8349332809448242],[0.8332329988479614],[0.27562037110328674],[0.36466485261917114],[0.3658926784992218]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-07/14-12-56/weights/model_step_60000.pt,1,True,True,Foundation,0.8058215975761414,0.6081871390342712,0.6143423120180765,0.4938577910264333,0.6463203628857931,0.6526404221852621,"[0.8063849806785583, 0.8548356890678406, 0.7562441229820251]","[0.621345043182373, 0.5935672521591187, 0.609649121761322]","[0.6172608137130737, 0.6097561120986938, 0.6160100102424622]","[0.5022231340408325, 0.4289356768131256, 0.5504145622253418]","[0.6405847668647766, 0.6533970236778259, 0.6449792981147766]","[0.6521216034889221, 0.6540268063545227, 0.6517728567123413]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-07/14-12-56/weights/model_step_60000.pt,1,True,True,Foundation,0.9218999743461609,0.8584399819374084,0.8583599925041199,0.2103593498468399,0.3250744044780731,0.3255620002746582,[0.9218999743461609],[0.8584399819374084],[0.8583599925041199],[0.2103593498468399],[0.3250744044780731],[0.3255620002746582]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-07/14-12-56/weights/model_step_60000.pt,1,True,True,Foundation,0.6732000112533569,0.6576856374740601,0.6505906581878662,0.6011245846748352,0.6233733296394348,0.6254795789718628,[0.6732000112533569],[0.6576856374740601],[0.6505906581878662],[0.6011245846748352],[0.6233733296394348],[0.6254795789718628]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-07/14-12-56/weights/model_step_60000.pt,1,True,True,Foundation,0.7256907025973002,0.6892797350883484,0.7115016579627991,0.5408794482549032,0.5871922771135966,0.5642891724904379,"[0.7270182967185974, 0.7248654365539551, 0.7251883745193481]","[0.6859296560287476, 0.6884422302246094, 0.6934673190116882]","[0.7062410116195679, 0.720588207244873, 0.7076757550239563]","[0.5406419634819031, 0.5400063991546631, 0.5419899821281433]","[0.5754944682121277, 0.6003583073616028, 0.5857240557670593]","[0.5683863162994385, 0.5546448826789856, 0.5698363184928894]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-07/14-12-56/weights/model_step_60000.pt,1,True,True,Foundation,0.8388000130653381,0.7600563168525696,0.7569000124931335,0.3605533242225647,0.46857529878616333,0.46868038177490234,[0.8388000130653381],[0.7600563168525696],[0.7569000124931335],[0.3605533242225647],[0.46857529878616333],[0.46868038177490234]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-07/14-12-56/weights/model_step_60000.pt,1,True,True,Foundation,0.6849827567736307,0.6838180422782898,0.6768935720125834,0.595915158589681,0.6001287301381429,0.6047573486963908,"[0.6890103816986084, 0.6792290210723877, 0.6867088675498962]","[0.6800894737243652, 0.6890380382537842, 0.68232661485672]","[0.668264627456665, 0.6778523325920105, 0.6845637559890747]","[0.5896401405334473, 0.6032457947731018, 0.5948595404624939]","[0.5980981588363647, 0.5857934951782227, 0.6164945363998413]","[0.6212356686592102, 0.6006972193717957, 0.5923391580581665]"
