model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_20000.pt,1,True,True,Foundation,0.8597000241279602,0.8235776424407959,0.8222957849502563,0.32047683000564575,0.39789798855781555,0.3909130394458771,[0.8597000241279602],[0.8235776424407959],[0.8222957849502563],[0.32047683000564575],[0.39789798855781555],[0.3909130394458771]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_20000.pt,1,True,True,Foundation,0.7459155122439066,0.6179337302843729,0.6053783496220907,0.5529906749725342,0.649610161781311,0.6582197546958923,"[0.7569953203201294, 0.7797183394432068, 0.7010328769683838]","[0.621345043182373, 0.609649121761322, 0.6228070259094238]","[0.6241400837898254, 0.5928705334663391, 0.5991244316101074]","[0.5465865135192871, 0.5164297223091125, 0.5959557890892029]","[0.6433495283126831, 0.6607565879821777, 0.6447243690490723]","[0.6519595980644226, 0.6667157411575317, 0.6559839248657227]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_20000.pt,1,True,True,Foundation,0.9014000296592712,0.844539999961853,0.8453199863433838,0.23304001986980438,0.35386911034584045,0.3544079661369324,[0.9014000296592712],[0.844539999961853],[0.8453199863433838],[0.23304001986980438],[0.35386911034584045],[0.3544079661369324]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_20000.pt,1,True,True,Foundation,0.6819000244140625,0.6567184925079346,0.6472155451774597,0.5964384078979492,0.6258288025856018,0.6290121078491211,[0.6819000244140625],[0.6567184925079346],[0.6472155451774597],[0.5964384078979492],[0.6258288025856018],[0.6290121078491211]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_20000.pt,1,True,True,Foundation,0.7264800866444906,0.6831379135449728,0.7105452020963033,0.5410184860229492,0.5921370585759481,0.5677359700202942,"[0.7257266044616699, 0.7256189584732056, 0.7280946969985962]","[0.6884422302246094, 0.6649916172027588, 0.69597989320755]","[0.7001434564590454, 0.7173601388931274, 0.7141320109367371]","[0.5442266464233398, 0.5412929058074951, 0.5375359058380127]","[0.5797963738441467, 0.614586591720581, 0.5820282101631165]","[0.5722594261169434, 0.5595004558563232, 0.571448028087616]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_20000.pt,1,True,True,Foundation,0.832099974155426,0.7629061937332153,0.757319986820221,0.36718952655792236,0.4662005305290222,0.46691933274269104,[0.832099974155426],[0.7629061937332153],[0.757319986820221],[0.36718952655792236],[0.4662005305290222],[0.46691933274269104]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_20000.pt,1,True,True,Foundation,0.6851745247840881,0.68232661485672,0.6788111130396525,0.595609207948049,0.5998682181040446,0.6025360027949015,"[0.6867088675498962, 0.6835442781448364, 0.6852704286575317]","[0.6890380382537842, 0.6800894737243652, 0.6778523325920105]","[0.6720997095108032, 0.6778523325920105, 0.6864812970161438]","[0.5915402173995972, 0.5990320444107056, 0.596255362033844]","[0.5991271138191223, 0.5860181450843811, 0.6144593954086304]","[0.6175855398178101, 0.5944033265113831, 0.5956191420555115]"
