model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-03/15-15-15/weights/model_step_140000.pt,1,True,True,Foundation,0.902400016784668,0.83739173412323,0.8392534852027893,0.2457858920097351,0.35468733310699463,0.35380303859710693,[0.902400016784668],[0.83739173412323],[0.8392534852027893],[0.2457858920097351],[0.35468733310699463],[0.35380303859710693]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-03/15-15-15/weights/model_step_140000.pt,1,True,True,Foundation,0.869671364625295,0.6335282723108927,0.6287263035774231,0.40630823373794556,0.6311454574267069,0.6408453385035197,"[0.8880751132965088, 0.8666666746139526, 0.8542723059654236]","[0.6345029473304749, 0.640350878238678, 0.6257309913635254]","[0.6328955888748169, 0.6172608137130737, 0.6360225081443787]","[0.3890824019908905, 0.3766014277935028, 0.45324087142944336]","[0.6254443526268005, 0.6389444470405579, 0.6290475726127625]","[0.6440368890762329, 0.6454513072967529, 0.6330478191375732]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-03/15-15-15/weights/model_step_140000.pt,1,True,True,Foundation,0.9505000114440918,0.8716400265693665,0.8743199706077576,0.15132346749305725,0.2964491546154022,0.294644296169281,[0.9505000114440918],[0.8716400265693665],[0.8743199706077576],[0.15132346749305725],[0.2964491546154022],[0.294644296169281]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-03/15-15-15/weights/model_step_140000.pt,1,True,True,Foundation,0.6729000210762024,0.6580311059951782,0.6497913002967834,0.6022226810455322,0.6227219104766846,0.6257128119468689,[0.6729000210762024],[0.6580311059951782],[0.6497913002967834],[0.6022226810455322],[0.6227219104766846],[0.6257128119468689]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-03/15-15-15/weights/model_step_140000.pt,1,True,True,Foundation,0.727090060710907,0.6884422103563944,0.7147297859191895,0.5375638206799825,0.5850754380226135,0.5628984173138937,"[0.7241119742393494, 0.7305704951286316, 0.72658771276474]","[0.6901172399520874, 0.6809045076370239, 0.694304883480072]","[0.7148493528366089, 0.720588207244873, 0.7087517976760864]","[0.5413335561752319, 0.5324757099151611, 0.5388821959495544]","[0.5699807405471802, 0.6034331321716309, 0.5818124413490295]","[0.5659058690071106, 0.5532923340797424, 0.5694970488548279]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-03/15-15-15/weights/model_step_140000.pt,1,True,True,Foundation,0.8543000221252441,0.7675248980522156,0.7670199871063232,0.3269382417201996,0.4418868124485016,0.44054141640663147,[0.8543000221252441],[0.7675248980522156],[0.7670199871063232],[0.3269382417201996],[0.4418868124485016],[0.44054141640663147]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-03/15-15-15/weights/model_step_140000.pt,1,True,True,Foundation,0.6845991611480713,0.6875466108322144,0.6778523524602255,0.5965218544006348,0.5970653692881266,0.6020167668660482,"[0.6881473064422607, 0.684119701385498, 0.6815304756164551]","[0.6935123205184937, 0.6912751793861389, 0.6778523325920105]","[0.6673058271408081, 0.6855225563049316, 0.6807286739349365]","[0.5917468667030334, 0.5983319282531738, 0.599486768245697]","[0.5953820943832397, 0.582870602607727, 0.6129434108734131]","[0.6167200803756714, 0.5922097563743591, 0.597120463848114]"
