model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_200000.pt,1,True,True,Foundation,0.9171000123023987,0.8444158434867859,0.8397551774978638,0.22965656220912933,0.3525879383087158,0.35148632526397705,[0.9171000123023987],[0.8444158434867859],[0.8397551774978638],[0.22965656220912933],[0.3525879383087158],[0.35148632526397705]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_200000.pt,1,True,True,Foundation,0.9023474057515463,0.6388888955116272,0.6383156180381775,0.3166118065516154,0.6216285030047098,0.6215154329935709,"[0.9085446000099182, 0.9305164217948914, 0.8679811954498291]","[0.6432748436927795, 0.621345043182373, 0.652046799659729]","[0.6335209608078003, 0.6529080867767334, 0.6285178065299988]","[0.30083057284355164, 0.2789740562438965, 0.37003079056739807]","[0.6218764185905457, 0.6309978365898132, 0.6120112538337708]","[0.6282301545143127, 0.6139537692070007, 0.6223623752593994]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_200000.pt,1,True,True,Foundation,0.9607999920845032,0.8836399912834167,0.8803200125694275,0.1278725415468216,0.2874537408351898,0.28917762637138367,[0.9607999920845032],[0.8836399912834167],[0.8803200125694275],[0.1278725415468216],[0.2874537408351898],[0.28917762637138367]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_200000.pt,1,True,True,Foundation,0.7085000276565552,0.6561657786369324,0.649820864200592,0.5802878141403198,0.6231237649917603,0.6255966424942017,[0.7085000276565552],[0.6561657786369324],[0.649820864200592],[0.5802878141403198],[0.6231237649917603],[0.6255966424942017]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_200000.pt,1,True,True,Foundation,0.7313598791758219,0.6945840318997701,0.7183165748914083,0.535328209400177,0.5854851802190145,0.5632277528444926,"[0.7288482189178467, 0.7308934330940247, 0.7343379855155945]","[0.7001674771308899, 0.6817420721054077, 0.7018425464630127]","[0.7112625241279602, 0.7291965484619141, 0.7144906520843506]","[0.5376852750778198, 0.5342474579811096, 0.5340518951416016]","[0.5762157440185547, 0.6008777022361755, 0.5793620944023132]","[0.5673502683639526, 0.5536476969718933, 0.5686852931976318]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_200000.pt,1,True,True,Foundation,0.8744999766349792,0.7646095156669617,0.7640399932861328,0.33031967282295227,0.4528777599334717,0.4529624283313751,[0.8744999766349792],[0.7646095156669617],[0.7640399932861328],[0.33031967282295227],[0.4528777599334717],[0.4529624283313751]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_200000.pt,1,True,True,Foundation,0.6841196616490682,0.6793437600135803,0.6855225165685018,0.596172034740448,0.6037819186846415,0.6019130349159241,"[0.6858457922935486, 0.6829689145088196, 0.6835442781448364]","[0.673378050327301, 0.6868008971214294, 0.6778523325920105]","[0.6701821684837341, 0.6941514611244202, 0.6922339200973511]","[0.5913711190223694, 0.5997880101203918, 0.5973569750785828]","[0.602708637714386, 0.5871962904930115, 0.6214408278465271]","[0.6177563071250916, 0.5971357822418213, 0.5908470153808594]"
