model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:5,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-10/13-43-18/weights/model_step_300000.pt,1,True,True,Foundation,0.8949000239372253,0.8385623693466187,0.8401063680648804,0.2538784146308899,0.3529089689254761,0.35114407539367676,[0.8949000239372253],[0.8385623693466187],[0.8401063680648804],[0.2538784146308899],[0.3529089689254761],[0.35114407539367676]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-10/13-43-18/weights/model_step_300000.pt,1,True,True,Foundation,0.8283568024635315,0.6559454003969828,0.6420679489771525,0.4253610571225484,0.6106132666269938,0.6201899647712708,"[0.8219718337059021, 0.8407511711120605, 0.8223474025726318]","[0.6476607918739319, 0.6622806787490845, 0.6578947305679321]","[0.6266416311264038, 0.66541588306427, 0.6341463327407837]","[0.43983906507492065, 0.38842031359672546, 0.44782379269599915]","[0.6237139105796814, 0.6111401319503784, 0.5969857573509216]","[0.6355050206184387, 0.6104288101196289, 0.6146360635757446]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:4,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-10/13-43-18/weights/model_step_300000.pt,1,True,True,Foundation,0.9266999959945679,0.8650000095367432,0.8640400171279907,0.19134458899497986,0.3149140179157257,0.32014894485473633,[0.9266999959945679],[0.8650000095367432],[0.8640400171279907],[0.19134458899497986],[0.3149140179157257],[0.32014894485473633]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:4,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-10/13-43-18/weights/model_step_300000.pt,1,True,True,Foundation,0.6704999804496765,0.658514678478241,0.6487254500389099,0.6069249510765076,0.6229044795036316,0.6266821026802063,[0.6704999804496765],[0.658514678478241],[0.6487254500389099],[0.6069249510765076],[0.6229044795036316],[0.6266821026802063]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-10/13-43-18/weights/model_step_300000.pt,1,True,True,Foundation,0.7261930505434672,0.6940256754557291,0.7119799057642618,0.5412375926971436,0.5880640347798666,0.5643723805745443,"[0.7236813902854919, 0.7255113124847412, 0.7293864488601685]","[0.6984924674034119, 0.6926298141479492, 0.6909547448158264]","[0.7098278403282166, 0.7198708653450012, 0.7062410116195679]","[0.5470993518829346, 0.5425593256950378, 0.5340541005134583]","[0.5775135159492493, 0.6035221815109253, 0.583156406879425]","[0.5686310529708862, 0.5533446669578552, 0.5711414217948914]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-10/13-43-18/weights/model_step_300000.pt,1,True,True,Foundation,0.8313000202178955,0.7638888955116272,0.7644400000572205,0.3638906478881836,0.4496947228908539,0.4480951428413391,[0.8313000202178955],[0.7638888955116272],[0.7644400000572205],[0.3638906478881836],[0.4496947228908539],[0.4480951428413391]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-10/13-43-18/weights/model_step_300000.pt,1,True,True,Foundation,0.6835442980130514,0.6845637559890747,0.6765739917755127,0.5963438351949056,0.6067831118901571,0.602433462937673,"[0.6858457922935486, 0.6800920367240906, 0.6846950650215149]","[0.6778523325920105, 0.6912751793861389, 0.6845637559890747]","[0.6586769223213196, 0.6778523325920105, 0.693192720413208]","[0.5918442010879517, 0.6000877022743225, 0.5970996022224426]","[0.6027830243110657, 0.5904011726379395, 0.6271651387214661]","[0.6202802658081055, 0.5972857475280762, 0.5897343754768372]"
