model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_260000.pt,1,True,True,Foundation,0.9435999989509583,0.8465230464935303,0.8484848737716675,0.19576124846935272,0.34571513533592224,0.3408576548099518,[0.9435999989509583],[0.8465230464935303],[0.8484848737716675],[0.19576124846935272],[0.34571513533592224],[0.3408576548099518]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_260000.pt,1,True,True,Foundation,0.9413458506266276,0.6208576957384745,0.6199708183606466,0.35590437054634094,0.639292856057485,0.6397887468338013,"[0.9553051590919495, 0.9532394409179688, 0.9154929518699646]","[0.6359649300575256, 0.6008771657943726, 0.6257309913635254]","[0.6241400837898254, 0.6166353821754456, 0.6191369891166687]","[0.34017395973205566, 0.2804981470108032, 0.44704100489616394]","[0.6316612958908081, 0.6537126898765564, 0.6325045824050903]","[0.6364715099334717, 0.6407294869422913, 0.6421652436256409]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_260000.pt,1,True,True,Foundation,0.9775000214576721,0.8870999813079834,0.8854799866676331,0.09815511107444763,0.2685784697532654,0.27163901925086975,[0.9775000214576721],[0.8870999813079834],[0.8854799866676331],[0.09815511107444763],[0.2685784697532654],[0.27163901925086975]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_260000.pt,1,True,True,Foundation,0.689300000667572,0.6536096930503845,0.6494952440261841,0.5870175361633301,0.6235947012901306,0.6259875893592834,[0.689300000667572],[0.6536096930503845],[0.6494952440261841],[0.5870175361633301],[0.6235947012901306],[0.6259875893592834]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_260000.pt,1,True,True,Foundation,0.7404736280441284,0.6895589033762614,0.7171209851900736,0.5207992196083069,0.5851672093073527,0.5613390405972799,"[0.7405812740325928, 0.7448869943618774, 0.735952615737915]","[0.6934673190116882, 0.6809045076370239, 0.694304883480072]","[0.7144906520843506, 0.7234576940536499, 0.7134146094322205]","[0.5239219665527344, 0.5141295194625854, 0.5243461728096008]","[0.5715979933738708, 0.6001025438308716, 0.5838010907173157]","[0.5636914372444153, 0.5531186461448669, 0.5672070384025574]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_260000.pt,1,True,True,Foundation,0.8334000110626221,0.763299286365509,0.7628399729728699,0.3513655960559845,0.4589763283729553,0.4563206732273102,[0.8334000110626221],[0.763299286365509],[0.7628399729728699],[0.3513655960559845],[0.4589763283729553],[0.4563206732273102]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_260000.pt,1,True,True,Foundation,0.6808592081069946,0.6845637361208597,0.6816874345143636,0.5972883303960165,0.601668139298757,0.6027794082959493,"[0.6869965195655823, 0.6769275069236755, 0.6786535978317261]","[0.6756151914596558, 0.7002236843109131, 0.6778523325920105]","[0.6673058271408081, 0.6855225563049316, 0.6922339200973511]","[0.5909274816513062, 0.6008866429328918, 0.6000508666038513]","[0.6047368049621582, 0.58381187915802, 0.6164557337760925]","[0.618756115436554, 0.5924990177154541, 0.5970830917358398]"
