model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-09/17-00-54/weights/model_step_80000.pt,1,True,True,Foundation,0.8835999965667725,0.8379770517349243,0.8330824971199036,0.27754977345466614,0.36052829027175903,0.3604041337966919,[0.8835999965667725],[0.8379770517349243],[0.8330824971199036],[0.27754977345466614],[0.36052829027175903],[0.3604041337966919]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-09/17-00-54/weights/model_step_80000.pt,1,True,True,Foundation,0.8712363044420878,0.6286549766858419,0.6237231691678365,0.3961947063604991,0.6457681258519491,0.6421962777773539,"[0.8441314697265625, 0.8918309807777405, 0.8777464628219604]","[0.6388888955116272, 0.6257309913635254, 0.621345043182373]","[0.6341463327407837, 0.6097561120986938, 0.627267062664032]","[0.41341522336006165, 0.32916077971458435, 0.4460081160068512]","[0.6395556926727295, 0.6515304446220398, 0.6462182402610779]","[0.6368308663368225, 0.6446957588195801, 0.6450622081756592]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-09/17-00-54/weights/model_step_80000.pt,1,True,True,Foundation,0.9345999956130981,0.8676999807357788,0.8682799935340881,0.1844000369310379,0.3044719994068146,0.3058987557888031,[0.9345999956130981],[0.8676999807357788],[0.8682799935340881],[0.1844000369310379],[0.3044719994068146],[0.3058987557888031]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-09/17-00-54/weights/model_step_80000.pt,1,True,True,Foundation,0.7073000073432922,0.6592746376991272,0.6478669047355652,0.5733674168586731,0.6227434277534485,0.6258493661880493,[0.7073000073432922],[0.6592746376991272],[0.6478669047355652],[0.5733674168586731],[0.6227434277534485],[0.6258493661880493]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-09/17-00-54/weights/model_step_80000.pt,1,True,True,Foundation,0.7372802297274271,0.6917922894159952,0.7165231903394064,0.5296150843302408,0.5887579719225565,0.5648523767789205,"[0.7392895817756653, 0.7397201061248779, 0.7328310012817383]","[0.69597989320755, 0.6825795769691467, 0.6968173980712891]","[0.7155666947364807, 0.7195122241973877, 0.7144906520843506]","[0.5270510911941528, 0.5267149806022644, 0.5350791811943054]","[0.5760210156440735, 0.6027234792709351, 0.5875294208526611]","[0.5655760765075684, 0.555780291557312, 0.5732007622718811]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-09/17-00-54/weights/model_step_80000.pt,1,True,True,Foundation,0.8740000128746033,0.7585822939872742,0.759880006313324,0.3263382911682129,0.4667515754699707,0.4646869897842407,[0.8740000128746033],[0.7585822939872742],[0.759880006313324],[0.3263382911682129],[0.4667515754699707],[0.4646869897842407]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-09/17-00-54/weights/model_step_80000.pt,1,True,True,Foundation,0.6853663126627604,0.6845637559890747,0.6816874345143636,0.5951549410820007,0.5992405613263448,0.601618488629659,"[0.6895857453346252, 0.6800920367240906, 0.6864211559295654]","[0.6778523325920105, 0.6935123205184937, 0.68232661485672]","[0.6644295454025269, 0.6845637559890747, 0.6960690021514893]","[0.5892771482467651, 0.5995522141456604, 0.5966354608535767]","[0.6006579399108887, 0.5822613835334778, 0.614802360534668]","[0.6163772344589233, 0.5957168936729431, 0.5927613377571106]"
