model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-08/22-10-42/weights/model_step_160000.pt,1,True,True,Foundation,0.9251000285148621,0.8516740798950195,0.8474814295768738,0.21393276751041412,0.33980870246887207,0.33670666813850403,[0.9251000285148621],[0.8516740798950195],[0.8474814295768738],[0.21393276751041412],[0.33980870246887207],[0.33670666813850403]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-08/22-10-42/weights/model_step_160000.pt,1,True,True,Foundation,0.9437871774037679,0.6418128609657288,0.6324786345163981,0.2973548372586568,0.6199806928634644,0.6281770666440328,"[0.9592488408088684, 0.9571831226348877, 0.9149295687675476]","[0.6169590353965759, 0.6359649300575256, 0.6725146174430847]","[0.6391494870185852, 0.6185115575790405, 0.6397748589515686]","[0.2962481379508972, 0.2768717408180237, 0.31894463300704956]","[0.6338071227073669, 0.6316237449645996, 0.5945112109184265]","[0.6295088529586792, 0.6390334963798523, 0.6159888505935669]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-08/22-10-42/weights/model_step_160000.pt,1,True,True,Foundation,0.9598000049591064,0.8810399770736694,0.8797199726104736,0.12881691753864288,0.2824818789958954,0.28614184260368347,[0.9598000049591064],[0.8810399770736694],[0.8797199726104736],[0.12881691753864288],[0.2824818789958954],[0.28614184260368347]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-08/22-10-42/weights/model_step_160000.pt,1,True,True,Foundation,0.724399983882904,0.657063901424408,0.6485478281974792,0.561168372631073,0.6231273412704468,0.6262506246566772,[0.724399983882904],[0.657063901424408],[0.6485478281974792],[0.561168372631073],[0.6231273412704468],[0.6262506246566772]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-08/22-10-42/weights/model_step_160000.pt,1,True,True,Foundation,0.7432723442713419,0.696259061495463,0.7174796660741171,0.5213130116462708,0.5876681407292684,0.5611088474591573,"[0.7413347959518433, 0.7418729662895203, 0.7466092705726624]","[0.7026800513267517, 0.6901172399520874, 0.69597989320755]","[0.7112625241279602, 0.7256097793579102, 0.7155666947364807]","[0.5269056558609009, 0.5202599167823792, 0.5167734622955322]","[0.5748315453529358, 0.6067193746566772, 0.5814535021781921]","[0.5650158524513245, 0.5524666905403137, 0.5658439993858337]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-08/22-10-42/weights/model_step_160000.pt,1,True,True,Foundation,0.8880000114440918,0.7673283815383911,0.7663400173187256,0.30371901392936707,0.44687309861183167,0.44548553228378296,[0.8880000114440918],[0.7673283815383911],[0.7663400173187256],[0.30371901392936707],[0.44687309861183167],[0.44548553228378296]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-08/22-10-42/weights/model_step_160000.pt,1,True,True,Foundation,0.6873801151911417,0.6793437600135803,0.6832853754361471,0.5928889910380045,0.6021389961242676,0.5994739532470703,"[0.6881473064422607, 0.6869965195655823, 0.6869965195655823]","[0.6868008971214294, 0.673378050327301, 0.6778523325920105]","[0.6673058271408081, 0.6883988380432129, 0.6941514611244202]","[0.5903418064117432, 0.5972455143928528, 0.5910796523094177]","[0.6002667546272278, 0.5904844999313354, 0.6156657338142395]","[0.6159620881080627, 0.5922664403915405, 0.5901933312416077]"
