model,openml_task_id,openml_dataset_id,openml_dataset_name,task,feature_type,dataset_size,search_type,seed,device,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test,hp__batch_size,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles
TABPFN_FINETUNE,361111,44157,eye_movements,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,1,cuda:7,0.8671674529711405,0.6067251364390055,0.6087137858072916,0.4792647063732147,0.6523151795069376,0.6536469459533691,"[0.8878872990608215, 0.9049765467643738, 0.8086385130882263]","[0.597953200340271, 0.6154970526695251, 0.6067251563072205]","[0.6160100102424622, 0.602251410484314, 0.6078799366950989]","[0.44023698568344116, 0.44941315054893494, 0.5481439828872681]","[0.6610299944877625, 0.6504302620887756, 0.6454852819442749]","[0.6516591906547546, 0.6530512571334839, 0.6562303900718689]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361110,44156,electricity,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.9257000088691713,0.8461718559265137,0.8423138856887817,0.2281256169080734,0.3478250205516815,0.351144403219223,[0.9257000088691711],[0.8461718559265137],[0.8423138856887817],[0.22812561690807343],[0.3478250205516815],[0.351144403219223],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361285,45038,road-safety,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.8212000131607056,0.7546514868736267,0.7585399746894836,0.3686912059783935,0.4673274755477905,0.4639680087566376,[0.8212000131607056],[0.7546514868736267],[0.7585399746894836],[0.36869120597839355],[0.4673274755477905],[0.4639680087566376],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361113,44159,covertype,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,1,cuda:7,0.9641000032424928,0.8703799843788147,0.8707799911499023,0.1265380680561065,0.3058282136917114,0.303576111793518,[0.9641000032424927],[0.8703799843788147],[0.8707799911499023],[0.12653806805610657],[0.3058282136917114],[0.30357611179351807],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361286,45039,compas-two-years,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.6821058591206869,0.6830723285675049,0.685202956199646,0.5955566167831421,0.602471927801768,0.6011793812115988,"[0.6892980337142944, 0.6829689145088196, 0.6740506291389465]","[0.6979866027832031, 0.6778523325920105, 0.673378050327301]","[0.6749760508537292, 0.6836050152778625, 0.6970278024673462]","[0.5888225436210632, 0.5988001227378845, 0.5990471839904785]","[0.5960674285888672, 0.5971230864524841, 0.6142252683639526]","[0.611870288848877, 0.6020395159721375, 0.5896283388137817]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361282,45035,albert,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,1,cuda:7,0.6919999718666077,0.6589982509613037,0.6483405828475952,0.5882670283317566,0.6233899593353271,0.6252468228340149,[0.6919999718666077],[0.6589982509613037],[0.6483405828475952],[0.5882670283317566],[0.6233899593353271],[0.6252468228340149],10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
TABPFN_FINETUNE,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.7322569092114767,0.697934110959371,0.7153275807698568,0.5330550074577332,0.5838384628295898,0.561069667339325,"[0.7329386472702026, 0.7407965660095215, 0.7230355143547058]","[0.6976549625396729, 0.69597989320755, 0.7001674771308899]","[0.7144906520843506, 0.7220229506492615, 0.7094691395759583]","[0.533277153968811, 0.521331250667572, 0.5445566177368164]","[0.5722029209136963, 0.5959628224372864, 0.5833496451377869]","[0.5622655749320984, 0.5498272776603699, 0.5711161494255066]",10000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,1
