model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/11-37-58/weights/model_step_260000.pt,1,True,True,Foundation,0.9126999974250793,0.842074453830719,0.8424643874168396,0.2362285703420639,0.3536192774772644,0.3481702208518982,[0.9126999974250793],[0.842074453830719],[0.8424643874168396],[0.2362285703420639],[0.3536192774772644],[0.3481702208518982]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/11-37-58/weights/model_step_260000.pt,1,True,True,Foundation,0.9294522802035013,0.6564327279726664,0.6526995897293091,0.2828384339809418,0.6141611337661743,0.6089394688606262,"[0.9502347707748413, 0.9502347707748413, 0.8878872990608215]","[0.6622806787490845, 0.6432748436927795, 0.6637426614761353]","[0.6560350060462952, 0.6560350060462952, 0.6460287570953369]","[0.25121861696243286, 0.2498875856399536, 0.34740909934043884]","[0.6271238327026367, 0.6301547288894653, 0.5852048397064209]","[0.603119432926178, 0.6106137037277222, 0.6130852699279785]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/11-37-58/weights/model_step_260000.pt,1,True,True,Foundation,0.9430999755859375,0.8742200136184692,0.8752599954605103,0.15844504535198212,0.2949143350124359,0.2979208528995514,[0.9430999755859375],[0.8742200136184692],[0.8752599954605103],[0.15844504535198212],[0.2949143350124359],[0.2979208528995514]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/11-37-58/weights/model_step_260000.pt,1,True,True,Foundation,0.7310000061988831,0.6574093103408813,0.6476892828941345,0.5518477559089661,0.6237467527389526,0.6282309293746948,[0.7310000061988831],[0.6574093103408813],[0.6476892828941345],[0.5518477559089661],[0.6237467527389526],[0.6282309293746948]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/11-37-58/weights/model_step_260000.pt,1,True,True,Foundation,0.73595263560613,0.6923506259918213,0.7106647491455078,0.5307369828224182,0.5851696133613586,0.565681536992391,"[0.7360602617263794, 0.7381054759025574, 0.7336921691894531]","[0.6934673190116882, 0.6909547448158264, 0.6926298141479492]","[0.7044476270675659, 0.7216642498970032, 0.7058823704719543]","[0.5305554866790771, 0.5287505388259888, 0.5329049229621887]","[0.5738168358802795, 0.596105694770813, 0.5855863094329834]","[0.5697792768478394, 0.5571982860565186, 0.5700670480728149]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/11-37-58/weights/model_step_260000.pt,1,True,True,Foundation,0.8851000070571899,0.7631354928016663,0.7627400159835815,0.3214750289916992,0.4569171667098999,0.45517608523368835,[0.8851000070571899],[0.7631354928016663],[0.7627400159835815],[0.3214750289916992],[0.4569171667098999],[0.45517608523368835]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-06/11-37-58/weights/model_step_260000.pt,1,True,True,Foundation,0.6837360858917236,0.6771066188812256,0.6845637758572897,0.5980509122212728,0.6044082641601562,0.6008418202400208,"[0.6878595948219299, 0.6749137043952942, 0.6884349584579468]","[0.6778523325920105, 0.6778523325920105, 0.6756151914596558]","[0.666347086429596, 0.6893576383590698, 0.6979866027832031]","[0.5951663255691528, 0.6017246246337891, 0.5972617864608765]","[0.6046038866043091, 0.5879237651824951, 0.6206971406936646]","[0.6155153512954712, 0.5972425937652588, 0.5897675156593323]"
