model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_80000.pt,1,True,True,Foundation,0.9028000235557556,0.8438304662704468,0.8402066826820374,0.246611088514328,0.3547285497188568,0.35177358984947205,[0.9028000235557556],[0.8438304662704468],[0.8402066826820374],[0.246611088514328],[0.3547285497188568],[0.35177358984947205]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_80000.pt,1,True,True,Foundation,0.9158685406049093,0.6569200754165649,0.6574942668279012,0.3067523737748464,0.5922513604164124,0.5980934103329977,"[0.9164319038391113, 0.92075115442276, 0.9104225635528564]","[0.6564327478408813, 0.6564327478408813, 0.6578947305679321]","[0.6597873568534851, 0.6566604375839233, 0.6560350060462952]","[0.30644527077674866, 0.30173659324645996, 0.31207525730133057]","[0.6024559140205383, 0.6003044247627258, 0.5739937424659729]","[0.6016343235969543, 0.6059696078300476, 0.586676299571991]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_80000.pt,1,True,True,Foundation,0.964900016784668,0.8850200176239014,0.883400022983551,0.11886409670114517,0.28077247738838196,0.2823224365711212,[0.964900016784668],[0.8850200176239014],[0.883400022983551],[0.11886409670114517],[0.28077247738838196],[0.2823224365711212]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_80000.pt,1,True,True,Foundation,0.6901999711990356,0.6557512879371643,0.6510347127914429,0.5878362655639648,0.6237798929214478,0.6252808570861816,[0.6901999711990356],[0.6557512879371643],[0.6510347127914429],[0.5878362655639648],[0.6237798929214478],[0.6252808570861816]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_80000.pt,1,True,True,Foundation,0.7312881151835123,0.6912339528401693,0.7161645094553629,0.534911314646403,0.5832657416661581,0.5628375808397929,"[0.7368137836456299, 0.728632926940918, 0.7284176349639893]","[0.7051926255226135, 0.6800670027732849, 0.6884422302246094]","[0.7069584131240845, 0.7209469079971313, 0.720588207244873]","[0.533322274684906, 0.5351589918136597, 0.5362526774406433]","[0.5682722926139832, 0.5958974957466125, 0.5856274366378784]","[0.5690962672233582, 0.5488477349281311, 0.5705687403678894]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_80000.pt,1,True,True,Foundation,0.8242999911308289,0.7672955989837646,0.7669199705123901,0.36657845973968506,0.4490137994289398,0.4484167993068695,[0.8242999911308289],[0.7672955989837646],[0.7669199705123901],[0.36657845973968506],[0.4490137994289398],[0.4484167993068695]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_80000.pt,1,True,True,Foundation,0.6845991611480713,0.6763609250386556,0.685202936331431,0.5947781403859457,0.6027747193972269,0.5990355610847473,"[0.6872842311859131, 0.6806674599647522, 0.6858457922935486]","[0.6711409687995911, 0.6800894737243652, 0.6778523325920105]","[0.666347086429596, 0.690316379070282, 0.6989453434944153]","[0.5905990600585938, 0.599419891834259, 0.5943154692649841]","[0.6006670594215393, 0.5886053442955017, 0.6190517544746399]","[0.6154356002807617, 0.5929096937179565, 0.5887613892555237]"
