model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_60000.pt,1,True,True,Foundation,0.904699981212616,0.833528459072113,0.8359422087669373,0.24999931454658508,0.3667491376399994,0.3636011481285095,[0.904699981212616],[0.833528459072113],[0.8359422087669373],[0.24999931454658508],[0.3667491376399994],[0.3636011481285095]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_60000.pt,1,True,True,Foundation,0.9225665132204691,0.623781681060791,0.6264331936836243,0.35521015524864197,0.6352612177530924,0.642346719900767,"[0.9151173830032349, 0.953427255153656, 0.8991549015045166]","[0.6359649300575256, 0.6038011908531189, 0.6315789222717285]","[0.629143238067627, 0.6116322875022888, 0.638524055480957]","[0.36346644163131714, 0.31111419200897217, 0.3910498321056366]","[0.6227520108222961, 0.654837965965271, 0.6281936764717102]","[0.6424610018730164, 0.6490315794944763, 0.6355475783348083]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_60000.pt,1,True,True,Foundation,0.9498000144958496,0.8688200116157532,0.8702399730682373,0.15226729214191437,0.30727440118789673,0.3086133897304535,[0.9498000144958496],[0.8688200116157532],[0.8702399730682373],[0.15226729214191437],[0.30727440118789673],[0.3086133897304535]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_60000.pt,1,True,True,Foundation,0.6862999796867371,0.6582383513450623,0.6502353549003601,0.5833649635314941,0.6229681372642517,0.6250472068786621,[0.6862999796867371],[0.6582383513450623],[0.6502353549003601],[0.5833649635314941],[0.6229681372642517],[0.6250472068786621]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_60000.pt,1,True,True,Foundation,0.7383207678794861,0.6915131211280823,0.7137733300526937,0.5225433905919393,0.5893294811248779,0.5638268192609152,"[0.7417653203010559, 0.7384284138679504, 0.7347685694694519]","[0.6993299722671509, 0.6775544285774231, 0.6976549625396729]","[0.7101865410804749, 0.7202295660972595, 0.7109038829803467]","[0.5227680206298828, 0.5191266536712646, 0.5257354974746704]","[0.578665554523468, 0.6125385165214539, 0.5767843723297119]","[0.566055178642273, 0.5564546585083008, 0.5689706206321716]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_60000.pt,1,True,True,Foundation,0.8826000094413757,0.7614976167678833,0.7597000002861023,0.3045247495174408,0.460985392332077,0.46064695715904236,[0.8826000094413757],[0.7614976167678833],[0.7597000002861023],[0.3045247495174408],[0.460985392332077],[0.46064695715904236]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_60000.pt,1,True,True,Foundation,0.6823935508728027,0.6793437798817953,0.6877596577008566,0.5959630012512207,0.5999590555826823,0.5992756485939026,"[0.6881473064422607, 0.6786535978317261, 0.6803797483444214]","[0.6800894737243652, 0.6912751793861389, 0.6666666865348816]","[0.6625120043754578, 0.6960690021514893, 0.7046979665756226]","[0.5912251472473145, 0.6008862257003784, 0.5957776308059692]","[0.6008044481277466, 0.5843673348426819, 0.6147053837776184]","[0.6168639659881592, 0.5919035077095032, 0.5890594720840454]"
