model,openml_task_id,openml_dataset_id,openml_dataset_name,task,feature_type,dataset_size,search_type,seed,device,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test,hp__batch_size,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles
TABPFN_FINETUNE,361110,44156,electricity,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.8253999948501587,0.8146803975105286,0.819084882736206,0.3888558447360992,0.4008608758449554,0.400007426738739,[0.8253999948501587],[0.8146803975105286],[0.819084882736206],[0.38885584473609924],[0.40086087584495544],[0.400007426738739],1000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,10
TABPFN_FINETUNE,361111,44157,eye_movements,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,1,cuda:7,0.6321126619974772,0.5930799245834351,0.587658961613973,0.6453694899876913,0.6646193861961365,0.6671117345492045,"[0.6636619567871094, 0.6215962171554565, 0.6110798120498657]","[0.5847952961921692, 0.6081871390342712, 0.5862573385238647]","[0.5872420072555542, 0.5841150879859924, 0.5916197896003723]","[0.629334032535553, 0.6474419236183167, 0.6593325138092041]","[0.6662030220031738, 0.6622005105018616, 0.665454626083374]","[0.6688523888587952, 0.6692846417427063, 0.6631981730461121]",1000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,10
TABPFN_FINETUNE,361282,45035,albert,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,1,cuda:7,0.6656000018119812,0.6549913883209229,0.6455576419830322,0.6128839254379272,0.6258308291435242,0.62971031665802,[0.6656000018119812],[0.6549913883209229],[0.6455576419830322],[0.6128839254379272],[0.6258308291435242],[0.62971031665802],1000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,10
TABPFN_FINETUNE,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.7238966822624207,0.6937465071678162,0.7185557087262472,0.5455724994341532,0.5868584712346395,0.5607028206189474,"[0.7257266044616699, 0.719913899898529, 0.726049542427063]","[0.6909547448158264, 0.6859296560287476, 0.7043551206588745]","[0.715925395488739, 0.7241750359535217, 0.7155666947364807]","[0.5438422560691833, 0.5495322346687317, 0.5433430075645447]","[0.5729727149009705, 0.6062315106391907, 0.5813711881637573]","[0.5589154362678528, 0.557650089263916, 0.5655429363250732]",1000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,10
TABPFN_FINETUNE,361285,45038,road-safety,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.7688999772071838,0.7562237977981567,0.7575200200080872,0.4491304755210876,0.4711549580097198,0.4671745002269745,[0.7688999772071838],[0.7562237977981567],[0.7575200200080872],[0.44913047552108765],[0.47115495800971985],[0.4671745002269745],1000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,10
TABPFN_FINETUNE,361286,45039,compas-two-years,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,0,cuda:6,0.6822017629941305,0.6882923046747843,0.6749760508537292,0.596266488234202,0.602721095085144,0.6060977578163147,"[0.6858457922935486, 0.6795166730880737, 0.681242823600769]","[0.6756151914596558, 0.7002236843109131, 0.6890380382537842]","[0.6586769223213196, 0.666347086429596, 0.6999041438102722]","[0.5923682451248169, 0.5968533754348755, 0.5995778441429138]","[0.6033554673194885, 0.5892739295959473, 0.6155338883399963]","[0.6224274039268494, 0.6033264398574829, 0.5925394296646118]",1000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,10
TABPFN_FINETUNE,361113,44159,covertype,CLASSIFICATION,MIXED,MEDIUM,DEFAULT,1,cuda:7,0.8543000221252441,0.8242400288581848,0.8240200281143188,0.32368212938308716,0.3853990137577057,0.3848188817501068,[0.8543000221252441],[0.8242400288581848],[0.8240200281143188],[0.32368212938308716],[0.3853990137577057],[0.3848188817501068],1000,300,adamw,1e-05,0,True,30,40,True,tabularbench/models/tabPFN/prior_diff_real_checkpoint_n_0_epoch_42.cpkt,10
