model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_100000.pt,1,True,True,Foundation,0.9284999966621399,0.8376258611679077,0.8398053646087646,0.2144114226102829,0.3596879839897156,0.3576962351799011,[0.9284999966621399],[0.8376258611679077],[0.8398053646087646],[0.2144114226102829],[0.3596879839897156],[0.3576962351799011]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_100000.pt,1,True,True,Foundation,0.9316431879997253,0.6276803215344747,0.6251824100812277,0.33713969588279724,0.6305178006490072,0.6388682126998901,"[0.921314537525177, 0.938779354095459, 0.93483567237854]","[0.6271929740905762, 0.6228070259094238, 0.6330409646034241]","[0.629143238067627, 0.6185115575790405, 0.6278924345970154]","[0.33494511246681213, 0.3009684383869171, 0.3755055367946625]","[0.622840940952301, 0.6374771595001221, 0.6312353014945984]","[0.640922486782074, 0.6383550763130188, 0.6373270750045776]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_100000.pt,1,True,True,Foundation,0.9611999988555908,0.8755000233650208,0.8774399757385254,0.1417568475008011,0.29482385516166687,0.2961187958717346,[0.9611999988555908],[0.8755000233650208],[0.8774399757385254],[0.1417568475008011],[0.29482385516166687],[0.2961187958717346]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_100000.pt,1,True,True,Foundation,0.6879000067710876,0.6574093103408813,0.6511235237121582,0.5861132144927979,0.6226820945739746,0.6242111325263977,[0.6879000067710876],[0.6574093103408813],[0.6511235237121582],[0.5861132144927979],[0.6226820945739746],[0.6242111325263977]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_100000.pt,1,True,True,Foundation,0.7479009826978048,0.6926298340161642,0.7168818910916647,0.5091164906819662,0.5885553161303202,0.5632466872533163,"[0.750914990901947, 0.7427341341972351, 0.7500538229942322]","[0.6917923092842102, 0.6825795769691467, 0.7035176157951355]","[0.7141320109367371, 0.7274031639099121, 0.7091104984283447]","[0.507152795791626, 0.5139589309692383, 0.5062377452850342]","[0.5752657651901245, 0.6068358421325684, 0.5835643410682678]","[0.565778374671936, 0.5540972948074341, 0.5698643922805786]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_100000.pt,1,True,True,Foundation,0.8924999833106995,0.7637251019477844,0.7609599828720093,0.30536556243896484,0.45834946632385254,0.45759525895118713,[0.8924999833106995],[0.7637251019477844],[0.7609599828720093],[0.30536556243896484],[0.45834946632385254],[0.45759525895118713]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-19/12-38-03/weights/model_step_100000.pt,1,True,True,Foundation,0.681242823600769,0.6785980661710104,0.6855225364367167,0.5957743724187216,0.6016542116800944,0.601835568745931,"[0.6855581402778625, 0.6772152185440063, 0.6809551119804382]","[0.673378050327301, 0.6935123205184937, 0.6689038276672363]","[0.6644295454025269, 0.6922339200973511, 0.6999041438102722]","[0.5915128588676453, 0.5999144911766052, 0.5958957672119141]","[0.6008329391479492, 0.5856609344482422, 0.6184687614440918]","[0.6164710521697998, 0.5948556661605835, 0.5941799879074097]"
