model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-20-41/weights/model_step_300000.pt,1,True,True,Foundation,0.9067999720573425,0.838211178779602,0.8369455933570862,0.23489391803741455,0.35798656940460205,0.3558151423931122,[0.9067999720573425],[0.838211178779602],[0.8369455933570862],[0.23489391803741455],[0.35798656940460205],[0.3558151423931122]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-20-41/weights/model_step_300000.pt,1,True,True,Foundation,0.9413458506266276,0.6627680460611979,0.6518657604853312,0.2763431668281555,0.603721002737681,0.60521133740743,"[0.9607511758804321, 0.939906120300293, 0.9233802556991577]","[0.6798245906829834, 0.628654956817627, 0.6798245906829834]","[0.6629143357276917, 0.6466541886329651, 0.6460287570953369]","[0.21664512157440186, 0.2960842251777649, 0.3163001537322998]","[0.6065941452980042, 0.6269428730010986, 0.5776259899139404]","[0.5922254323959351, 0.6150767207145691, 0.6083318591117859]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-20-41/weights/model_step_300000.pt,1,True,True,Foundation,0.9545000195503235,0.8794400095939636,0.8811200261116028,0.14174771308898926,0.28503260016441345,0.28730353713035583,[0.9545000195503235],[0.8794400095939636],[0.8811200261116028],[0.14174771308898926],[0.28503260016441345],[0.28730353713035583]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-20-41/weights/model_step_300000.pt,1,True,True,Foundation,0.727400004863739,0.6531951427459717,0.6484590172767639,0.5534119009971619,0.6249842047691345,0.6284878253936768,[0.727400004863739],[0.6531951427459717],[0.6484590172767639],[0.5534119009971619],[0.6249842047691345],[0.6284878253936768]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-20-41/weights/model_step_300000.pt,1,True,True,Foundation,0.7315392891565958,0.6898380716641744,0.7154471476872762,0.535453736782074,0.5836922923723856,0.5625279545783997,"[0.7313240170478821, 0.7322927713394165, 0.731001079082489]","[0.6968173980712891, 0.6867671608924866, 0.6859296560287476]","[0.7105451822280884, 0.7227402925491333, 0.7130559682846069]","[0.5324053168296814, 0.5375570058822632, 0.5363988876342773]","[0.5725976824760437, 0.5975862741470337, 0.5808929204940796]","[0.5676689147949219, 0.5527874231338501, 0.567127525806427]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-20-41/weights/model_step_300000.pt,1,True,True,Foundation,0.8950999975204468,0.7605149149894714,0.7612400054931641,0.29284152388572693,0.45671066641807556,0.4547612965106964,[0.8950999975204468],[0.7605149149894714],[0.7612400054931641],[0.29284152388572693],[0.45671066641807556],[0.4547612965106964]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-20-41/weights/model_step_300000.pt,1,True,True,Foundation,0.6839278936386108,0.6838180422782898,0.6868008772532145,0.5964290698369344,0.6011435985565186,0.6001021464665731,"[0.6895857453346252, 0.6826812624931335, 0.6795166730880737]","[0.6845637559890747, 0.6912751793861389, 0.6756151914596558]","[0.6673058271408081, 0.6989453434944153, 0.6941514611244202]","[0.5935631990432739, 0.5978867411613464, 0.5978372693061829]","[0.6000099182128906, 0.58376145362854, 0.619659423828125]","[0.6165891289710999, 0.5940951704978943, 0.5896221399307251]"
