model,openml_task_id,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,361110,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_160000.pt,1,True,True,Foundation,0.9244999885559082,0.8392648100852966,0.8389524221420288,0.21550463140010834,0.35909944772720337,0.3552805781364441,[0.9244999885559082],[0.8392648100852966],[0.8389524221420288],[0.21550463140010834],[0.35909944772720337],[0.3552805781364441]
FOUNDATION,361111,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_160000.pt,1,True,True,Foundation,0.9181846777598063,0.6442494988441467,0.6395664016405741,0.3263026972611745,0.6224941611289978,0.6230553587277731,"[0.9297652840614319, 0.9179342985153198, 0.9068544507026672]","[0.6578947305679321, 0.6301169395446777, 0.6447368264198303]","[0.640400230884552, 0.6310194134712219, 0.6472795605659485]","[0.29263556003570557, 0.31926795840263367, 0.3670045733451843]","[0.6044254899024963, 0.6449286937713623, 0.6181282997131348]","[0.619091272354126, 0.6240993142127991, 0.625975489616394]"
FOUNDATION,361113,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_160000.pt,1,True,True,Foundation,0.9492999911308289,0.8751400113105774,0.8748800158500671,0.14496925473213196,0.2914983332157135,0.29406553506851196,[0.9492999911308289],[0.8751400113105774],[0.8748800158500671],[0.14496925473213196],[0.2914983332157135],[0.29406553506851196]
FOUNDATION,361282,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_160000.pt,1,True,True,Foundation,0.7132999897003174,0.6543005108833313,0.6457056403160095,0.5690333247184753,0.6254187822341919,0.6281245946884155,[0.7132999897003174],[0.6543005108833313],[0.6457056403160095],[0.5690333247184753],[0.6254187822341919],[0.6281245946884155]
FOUNDATION,361283,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_160000.pt,1,True,True,Foundation,0.733046293258667,0.6929090023040771,0.7164036432902018,0.5334013104438782,0.5885853171348572,0.5628419717152914,"[0.7336921691894531, 0.7325080633163452, 0.7329386472702026]","[0.6984924674034119, 0.6825795769691467, 0.6976549625396729]","[0.7091104984283447, 0.7238163352012634, 0.7162840962409973]","[0.5380076169967651, 0.5300779342651367, 0.5321183800697327]","[0.5761663317680359, 0.6021881103515625, 0.5874015092849731]","[0.5657241940498352, 0.5552261471748352, 0.5675755739212036]"
FOUNDATION,361285,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_160000.pt,1,True,True,Foundation,0.8568000197410583,0.764347493648529,0.7643399834632874,0.3456560969352722,0.45483940839767456,0.4538035988807678,[0.8568000197410583],[0.764347493648529],[0.7643399834632874],[0.3456560969352722],[0.45483940839767456],[0.4538035988807678]
FOUNDATION,361286,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,256,8,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-01-05/13-19-17/weights/model_step_160000.pt,1,True,True,Foundation,0.6835442980130514,0.6763609250386556,0.6788111130396525,0.5948156118392944,0.6040314038594564,0.604412853717804,"[0.6867088675498962, 0.6838319897651672, 0.6800920367240906]","[0.6689038276672363, 0.6868008971214294, 0.673378050327301]","[0.6548417806625366, 0.6807286739349365, 0.7008628845214844]","[0.5908999443054199, 0.5985552668571472, 0.5949916243553162]","[0.6041081547737122, 0.5917454957962036, 0.6162405610084534]","[0.6210485100746155, 0.6020318865776062, 0.5901581645011902]"
