model,openml_dataset_id,openml_dataset_name,task,dataset_size,search_type,seed,device,hp__n_features,hp__n_classes,hp__dim,hp__n_layers,hp__n_heads,hp__attn_dropout,hp__y_as_float_embedding,hp__linear_attention,hp__max_samples_support,hp__max_samples_query,hp__max_epochs,hp__optimizer,hp__lr,hp__weight_decay,hp__lr_scheduler,hp__lr_scheduler_patience,hp__early_stopping_patience,hp__use_pretrained_weights,hp__path_to_weights,hp__n_ensembles,hp__use_quantile_transformer,hp__use_feature_count_scaling,hp__name,score_train_mean,score_val_mean,score_test_mean,loss_train_mean,loss_val_mean,loss_test_mean,scores_train,scores_val,scores_test,losses_train,losses_val,losses_test
FOUNDATION,44156,electricity,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_140000.pt,1,True,True,Foundation,0.9362000226974487,0.8495668172836304,0.8482841849327087,0.20502729713916779,0.34573376178741455,0.3442769944667816,[0.9362000226974487],[0.8495668172836304],[0.8482841849327087],[0.20502729713916779],[0.34573376178741455],[0.3442769944667816]
FOUNDATION,44157,eye_movements,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_140000.pt,1,True,True,Foundation,0.9327699542045593,0.6783625483512878,0.6779236793518066,0.29173173507054645,0.5758802890777588,0.5792931914329529,"[0.951737105846405, 0.9293896555900574, 0.9171831011772156]","[0.6769005656242371, 0.6637426614761353, 0.6944444179534912]","[0.6760475039482117, 0.6797998547554016, 0.6779236793518066]","[0.2773943841457367, 0.2973600924015045, 0.3004407286643982]","[0.5836822986602783, 0.5883615016937256, 0.5555970668792725]","[0.595171332359314, 0.5730447769165039, 0.5696634650230408]"
FOUNDATION,44159,covertype,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_140000.pt,1,True,True,Foundation,0.9713000059127808,0.8917999863624573,0.8895599842071533,0.1065359115600586,0.2620318830013275,0.2663404941558838,[0.9713000059127808],[0.8917999863624573],[0.8895599842071533],[0.1065359115600586],[0.2620318830013275],[0.2663404941558838]
FOUNDATION,45035,albert,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:0,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_140000.pt,1,True,True,Foundation,0.6796000003814697,0.655613124370575,0.6510051488876343,0.596647322177887,0.6221153736114502,0.6239097118377686,[0.6796000003814697],[0.655613124370575],[0.6510051488876343],[0.596647322177887],[0.6221153736114502],[0.6239097118377686]
FOUNDATION,45036,default-of-credit-card-clients,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:1,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_140000.pt,1,True,True,Foundation,0.7274129788080851,0.6903964281082153,0.7105452020963033,0.5401844580968221,0.5857964158058167,0.563819150129954,"[0.7325080633163452, 0.7251883745193481, 0.724542498588562]","[0.7026800513267517, 0.6859296560287476, 0.6825795769691467]","[0.7109038829803467, 0.7195122241973877, 0.7012194991111755]","[0.5336604714393616, 0.5399668216705322, 0.5469260811805725]","[0.564626932144165, 0.5953460931777954, 0.5974162220954895]","[0.5638270378112793, 0.5506613850593567, 0.5769690275192261]"
FOUNDATION,45038,road-safety,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:3,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_140000.pt,1,True,True,Foundation,0.8482000231742859,0.7708005905151367,0.7700999975204468,0.33500969409942627,0.43974509835243225,0.43669983744621277,[0.8482000231742859],[0.7708005905151367],[0.7700999975204468],[0.33500969409942627],[0.43974509835243225],[0.43669983744621277]
FOUNDATION,45039,compas-two-years,CLASSIFICATION,MEDIUM,DEFAULT,0,cuda:2,100,10,512,12,4,0.0,True,True,10000,10000,300,adamw,1e-05,0,False,30,40,True,outputs/2024-02-07/13-24-52/weights/model_step_140000.pt,1,True,True,Foundation,0.6869006355603536,0.68158092101415,0.6800894935925802,0.5926297307014465,0.6023819049199423,0.6018061439196268,"[0.6884349584579468, 0.6864211559295654, 0.6858457922935486]","[0.6800894737243652, 0.6935123205184937, 0.6711409687995911]","[0.668264627456665, 0.6826462149620056, 0.6893576383590698]","[0.5912212133407593, 0.5949164628982544, 0.5917515158653259]","[0.5983131527900696, 0.5898538827896118, 0.6189786791801453]","[0.6194514036178589, 0.5969035625457764, 0.5890634655952454]"
