,rank_min,rank_max,rank_mean,rank_median,acc_mean,acc_median
CatBoost,1.0,15.0,5.8,5.0,0.676,0.663
XGBoost,1.0,17.0,6.0,5.0,0.674,0.671
lightGBM,1.0,19.0,7.4,6.0,0.646,0.653
RandomForest,1.0,18.0,7.5,7.0,0.636,0.637
Resnet,1.0,19.0,8.0,8.0,0.608,0.616
NODE,1.0,19.0,8.1,8.0,0.625,0.602
SAINT,1.0,19.0,8.2,7.5,0.607,0.617
SVM,1.0,18.5,8.3,8.0,0.589,0.573
FT_Transformer,1.0,16.0,8.5,8.0,0.599,0.601
DANet,2.0,19.0,9.6,9.0,0.596,0.608
TabSGFD_zeroshot,2.0,19.0,10.7,11.75,0.59,0.6
MLP-rtdl,1.0,19.0,11.2,11.75,0.52,0.55
STG,1.0,19.0,11.2,12.0,0.523,0.5
LinearRegression,1.0,19.0,12.1,13.0,0.474,0.44
MLP,1.0,19.0,12.3,14.0,0.475,0.417
TabNet,1.0,19.0,12.5,13.25,0.52,0.5
DecisionTree,1.0,19.0,13.1,14.0,0.451,0.414
KNN,2.5,19.0,13.7,15.0,0.403,0.376
VIME,1.0,19.0,15.6,17.0,0.339,0.258
